,Empresa_1,Empresa_2,Empresa_3,Empresa_4,Empresa_5,Empresa_6
2022-06-02,1502814.348035476,1732397.043637657,320127.5741373008,7359.790235880601,17039.190000000002,296115.3669499666
2022-06-03,1820346.205262731,1774596.783136156,351770.74222668057,14553.959033412582,41494.424999999996,387177.16833448375
2022-06-04,1778636.3836909805,1687293.9123322323,381942.62116036506,14292.196461896361,33686.887500000004,385099.2446325126
2022-06-05,1430285.7429271166,1805136.2518247804,443586.7239471329,6772.937043484929,15740.298,271531.83491039695
2022-06-06,1638288.507037864,1817417.5865935518,442955.67885292834,7095.8822561330735,11641.161,367709.9620130579
2022-06-07,1650565.8203971572,1727238.250348825,455551.4701279236,10960.810829723801,10440.318000000001,328625.14463821996
2022-06-08,1482926.7344855717,1777063.6011711746,566969.5715487327,15674.936642108592,16436.468999999997,245691.7963405557
2022-06-09,1579701.5441607374,1829060.6857164868,559211.6186373334,12508.051878509445,21791.8785,217402.59982133744
2022-06-10,1633680.746840223,1818261.1629453818,1068535.2871618175,17832.55022760646,37942.7685,427584.23712106363
2022-06-11,1679274.835256976,1679161.896182085,952934.4797479195,16019.471343612338,35194.58249999999,423163.19678169355
2022-06-12,1224750.981849404,1686800.2603034729,427427.4718836678,13387.925737477566,11046.9975,210597.6695129711
2022-06-13,1551696.3612179824,1773996.2887518327,442043.9174743025,12442.122069323672,8283.355499999998,311774.15972181415
2022-06-14,1603033.2029650714,1758633.5089724928,414399.0809920368,12627.416661858826,18308.3775,286920.5561941944
2022-06-15,1461658.4172459866,1710783.2361740018,467174.7788109636,12972.062022422468,16801.049999999996,270289.69824482175
2022-06-16,1438415.3466543716,1929112.2655753829,517054.58660068834,15044.054261521713,16795.999499999998,234048.723313173
2022-06-17,1613539.6564380152,1943616.8007281998,566984.991631789,16463.164540363978,18718.9695,436841.9226613781
2022-06-18,1612230.9413851271,1836910.0574039512,632997.0800225544,17961.595384615382,24417.109500000006,459232.6682586716
2022-06-19,1503985.7995137286,1704573.8146974666,486713.31451547676,16984.53604534005,7631.001,208338.30304479698
2022-06-20,1686355.0585169962,1766214.9071239722,555569.5316588893,12725.924954092596,7668.0765,317651.84533502645
2022-06-21,1685639.8810881036,1756374.0594940432,580310.6147567888,17870.347105442546,10000.683,312739.1022312563
2022-06-22,1508875.4072427652,1696510.011671985,638930.3599019968,14234.159836504708,11746.402500000002,193586.07248248448
2022-06-23,1657809.9553399964,1741038.282846365,688802.3483410329,20603.837400793163,11167.306499999999,194686.76551642426
